fact_id,module,entity,sources,source_count,metric,record_count,value,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,years_with_data,query_ref,verified_at
CROSS-TOP-071,integraal,Nederlandse organisatie voor,Financiële instrumenten,1,cross_module_total,37,2698839000,0,0,0,0,0,0,305000,1304592000,1393942000,3,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-072,integraal,gemeente Enschede,"Financiële instrumenten, Provinciale subsidieregisters, Publiek",3,cross_module_total,390,2658714327,10514000,11560000,7482519,19087539,42587080,602388948,600002987,703784677,661306577,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-073,integraal,Ontvanger waarvan bijdragen aan gemeenten en kaderwetgebieden,Financiële instrumenten,1,cross_module_total,1,2630051000,0,2630051000,0,0,0,0,0,0,0,1,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-074,integraal,Stichting Carmelcollege,"Financiële instrumenten, Inkoopuitgaven, Publiek",3,cross_module_total,342,2628795914,1572000,290191000,305097001,309213001,306942001,328063001,351287226,367554368,368876316,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-075,integraal,De Vervoerregio Amsterdam,Financiële instrumenten,1,cross_module_total,20,2611803000,0,0,406373000,444958000,552620000,629991000,576851000,0,1010000,6,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-076,integraal,PROVINCIES,Financiële instrumenten,1,cross_module_total,3,2493504000,2493504000,0,0,0,0,0,0,0,0,1,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-077,integraal,Rentedragende lening (NR),Financiële instrumenten,1,cross_module_total,1,2480180000,0,0,2480180000,0,0,0,0,0,0,1,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-078,integraal,Stichting Hogeschool van Amsterdam,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Publiek",4,cross_module_total,102,2474032950,796000,258388328,298996462,306012662,461504,375143570,417866900,403205900,413161624,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-079,integraal,Ns Reizigers B.V.,"Financiële instrumenten, Inkoopuitgaven, Provinciale subsidieregisters",3,cross_module_total,135,2470786610,555000,136056000,85509000,28400000,618816000,5745000,702750803,887422753,5532054,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-080,integraal,Stichting Boor,"Financiële instrumenten, Provinciale subsidieregisters, Publiek",3,cross_module_total,208,2388172911,893000,219039000,244732001,256128001,271187001,291677001,351346000,375792906,377378001,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-081,integraal,gemeente Breda,"Financiële instrumenten, Gemeentelijke subsidieregisters, Provinciale subsidieregisters, Publiek",4,cross_module_total,226,2343597257,8285000,8154000,177759,9062304,10861628,543679013,524728080,644887504,593761969,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-082,integraal,Universiteit Twente,"Financiële instrumenten, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",4,cross_module_total,589,2273415022,6154057,198083001,218577630,255088750,268717136,281485283,322965299,356673344,365670522,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-083,integraal,Geanonimiseerde ontvanger(s) van Inkomensoverdrachten voor Aanvullende beurs gift (R),Financiële instrumenten,1,cross_module_total,4,2216154000,0,0,0,0,0,0,714951000,715957000,785246000,3,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-084,integraal,Vattenfall Sales Nederland N.V.,"Financiële instrumenten, Inkoopuitgaven",2,cross_module_total,20,2209895000,0,0,0,18255000,37875000,37875000,739672000,1121195000,255023000,6,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-085,integraal,gemeente Apeldoorn,"Financiële instrumenten, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",4,cross_module_total,337,2187339577,7413294,7136202,863134,9377320,17612451,502761452,484544357,575261686,582369681,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-086,integraal,provincie Gelderland,"Financiële instrumenten, Gemeentelijke subsidieregisters, Provinciale subsidieregisters, Publiek",4,cross_module_total,115,2180203061,2376000,6306000,8199001,3280001,29652000,407014000,489446000,573524058,660406001,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-087,integraal,Stichting hogeschool utrecht,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,cross_module_total,146,2166840543,600998,203833000,227174000,229850000,238409000,296869000,319469000,323615622,327019923,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-088,integraal,gemeente Leeuwarden,"Financiële instrumenten, Provinciale subsidieregisters, Publiek",3,cross_module_total,189,2136082032,4010000,4934000,445080,5641860,5740002,483043132,477363492,592491005,562413461,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-089,integraal,gemeente Haarlem,"Financiële instrumenten, Gemeentelijke subsidieregisters, Provinciale subsidieregisters, Publiek",4,cross_module_total,223,2114734987,4050262,1588359,2732278,2870748,16613568,472307220,470314009,571217506,573041037,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-090,integraal,gemeente Zaanstad,"Financiële instrumenten, Provinciale subsidieregisters, Publiek",3,cross_module_total,282,2085242590,9204309,11799000,3714956,16663215,25899196,480641404,467141923,555934534,514244053,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-091,integraal,Technische Universiteit Eindhoven,"Financiële instrumenten, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",4,cross_module_total,356,2067906675,5271883,206602515,233247120,253218312,16680370,300999900,331242500,349252000,371392075,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-092,integraal,Stichting Avans,"Financiële instrumenten, Provinciale subsidieregisters, Publiek",3,cross_module_total,55,2029442455,500000,174522000,204937701,214051000,227727574,285285180,312972000,303642000,305805000,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-093,integraal,gemeente Zwolle,"Financiële instrumenten, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",4,cross_module_total,330,2026013186,4257000,4182000,5925630,16613960,12320664,487452125,455214425,514585891,525461491,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-094,integraal,Eindhoven,Financiële instrumenten,1,cross_module_total,15,1988744000,0,423169000,484077000,536751000,544747000,0,0,0,0,4,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-095,integraal,Stichting Hogeschool Rotterdam,"Financiële instrumenten, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",4,cross_module_total,50,1981040570,1548000,197905000,238163000,254362570,261639000,323831000,356776000,126000,346690000,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-096,integraal,Onderzoeksdeel wo,Financiële instrumenten,1,cross_module_total,1,1962582000,0,0,1962582000,0,0,0,0,0,0,1,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-097,integraal,Provincie Noord-Brabant,"Financiële instrumenten, Provinciale subsidieregisters, Publiek",3,cross_module_total,100,1939780908,75000,15000,916000,2731000,39399001,349357001,366297001,463391002,717599903,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-098,integraal,Gemeente 's-hertogenbosch,"Financiële instrumenten, Provinciale subsidieregisters",2,cross_module_total,143,1937215242,8159000,7824000,0,7981000,8757000,379888000,455834504,574770713,494001025,8,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-099,integraal,Nederlandse organisatie voor wetenschappelijk onderzoek (NWO),"Financiële instrumenten, Inkoopuitgaven, Provinciale subsidieregisters",3,cross_module_total,141,1936965000,56044000,794998000,275000,100000,0,1023797000,10000,61336000,405000,8,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-100,integraal,gemeente Amersfoort,"Financiële instrumenten, Provinciale subsidieregisters, Publiek",3,cross_module_total,247,1924796197,6702000,6411000,378340,6887937,7697751,441397791,440065461,515089716,500166201,9,Q-CROSS-01,2026-03-02T19:28:34Z
