fact_id,module,entity,source,metric,contract_count,totaal,years_with_data,query_ref,verified_at
PUB-SRC-088,publiek,Gemeente Arnhem,COA,per_source_count,25,8735024,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-089,publiek,Heijmans Utiliteit B.V.,COA,per_source_count,25,58175025,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-090,publiek,Lyreco Nederland B.V.,COA,per_source_count,25,760025,3,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-091,publiek,Rainbow Events,COA,per_source_count,25,300025,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-092,publiek,Enexis Bv,COA,per_source_count,25,7210025,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-093,publiek,H.O.D.Nederland,COA,per_source_count,25,175025,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-094,publiek,Centralpoint Nijmegen BV,COA,per_source_count,25,37320025,6,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-095,publiek,De Meeuw Verhuur Nederland B.V,COA,per_source_count,25,75730025,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-096,publiek,Engie Services Zuid BV,COA,per_source_count,25,15780025,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-097,publiek,Absoluta,COA,per_source_count,24,580024,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-098,publiek,PLUS Renkum,COA,per_source_count,24,115023,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-099,publiek,Decathlon Netherlands BV,COA,per_source_count,24,220024,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-100,publiek,KPN Mobile,COA,per_source_count,24,6650022,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-101,publiek,Jumbo Noordman,COA,per_source_count,24,120024,6,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-102,publiek,GroenRijk Eemsdelta,COA,per_source_count,24,120024,7,Q-PUB-02,2026-03-02T19:28:34Z
