fact_id,module,entity,metric,value,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,years_with_data,row_count,query_ref,verified_at
INSTR-TOP-099,instrumenten,Gemeente Amersfoort,total_received,1911931000,6702000,6411000,0,6768000,7464000,440980000,435998000,511326000,496282000,8,180,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-100,instrumenten,Gemeente Dordrecht,total_received,1863123000,18000,856000,0,332000,1760000,432488000,412096000,523301000,492272000,8,138,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-101,instrumenten,Tilburg,total_received,1852005000,0,417895000,453135000,473616000,507359000,0,0,0,0,4,24,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-102,instrumenten,Maastricht University,total_received,1851966000,2136000,453000,321617000,340559000,352749000,397432000,437020000,0,0,7,8,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-103,instrumenten,RVO,total_received,1829173000,0,0,122310000,0,0,0,806273000,900590000,0,3,52,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-104,instrumenten,Tno Kwaliteit Van Leven,total_received,1811532000,0,0,210850000,203281000,234146000,235612000,246209000,298824000,382610000,7,69,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-105,instrumenten,Vattenfall Sales Nederland N.V.,total_received,1805725000,0,0,0,0,0,0,684672000,958565000,162488000,3,4,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-106,instrumenten,Deltafonds,total_received,1752641000,0,0,875276000,877365000,0,0,0,0,0,2,2,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-107,instrumenten,Gemeente Leiden,total_received,1747081000,6090000,5873000,0,5870000,9335000,406070000,390863000,447948000,475032000,8,167,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-108,instrumenten,Dienst Uitvoering Onderwijs,total_received,1741437000,0,0,201758000,0,0,300095000,355292000,415963000,468329000,5,71,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-109,instrumenten,Zie apart bestand,total_received,1734732000,0,0,0,0,1734732000,0,0,0,0,1,2,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-110,instrumenten,Provincie Zuid-Holland,total_received,1723980000,75000,15000,7000,0,7714000,342887000,359595000,389141000,624546000,8,65,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-111,instrumenten,Reisvoorziening bijdrage aan vervoersbedrijven (R),total_received,1723502000,0,0,1723502000,0,0,0,0,0,0,1,1,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-112,instrumenten,Het College van Bestuur van de Vrije Universiteit,total_received,1716800000,0,0,0,0,0,515694000,563879000,0,637227000,3,5,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-113,instrumenten,Gemeente Maastricht,total_received,1707140000,2845000,2452000,0,3017000,3573000,387908000,397819000,459468000,450058000,8,153,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-114,instrumenten,Gemeente Emmen,total_received,1704146000,4500000,31903000,0,37894000,39568000,392933000,368843000,406589000,421916000,8,204,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-115,instrumenten,Gemeente Heerlen,total_received,1687076000,6189000,5962000,0,7891000,8440000,399856000,392279000,434726000,431733000,8,180,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-116,instrumenten,Stichting Hanzehogeschool Groningen,total_received,1680510000,543000,166368000,195657000,207904000,1695000,263414000,287878000,276829000,280222000,9,114,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-117,instrumenten,Wageningen University,total_received,1677305000,0,409000,213058000,227145000,0,272610000,302169000,323414000,338500000,7,23,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-118,instrumenten,Immigratie- en Naturalisatiedienst (IND),total_received,1655413000,371035000,365759000,0,410998000,507621000,0,0,0,0,4,10,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-119,instrumenten,182094 x,total_received,1655350000,0,0,0,0,0,1655350000,0,0,0,1,1,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-120,instrumenten,Stichting Saxion,total_received,1639569000,1040000,136804000,169679000,175268000,180733000,226458000,254840000,246631000,248116000,9,73,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-121,instrumenten,Provincie utrecht,total_received,1620327000,4928000,40739000,116000,3871000,38539000,325909000,322458000,315161000,568606000,9,101,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-122,instrumenten,Arnhem,total_received,1618331000,0,367098000,389383000,414020000,447830000,0,0,0,0,4,19,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-123,instrumenten,Gemeente Venlo,total_received,1585621000,5637000,5357000,0,6493000,14879000,365914000,351673000,428009000,407659000,8,153,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-124,instrumenten,Nijmegen,total_received,1569680000,0,352033000,381610000,403145000,432892000,0,0,0,0,4,21,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-125,instrumenten,Almere,total_received,1568861000,0,348886000,380996000,405006000,433973000,0,0,0,0,4,23,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-126,instrumenten,Stichting Regionaal Opleidingencentrum van Amsterdam - Flevoland,total_received,1544068000,0,0,0,0,0,294435000,368672000,432382000,448579000,4,31,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-127,instrumenten,Provincie Overijssel,total_received,1542089000,75000,15000,131000,2615000,17965000,262055000,353598000,359026000,546609000,9,98,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-128,instrumenten,Stichting Hogeschool van Arnhem en Nijmegen,total_received,1521324000,0,7000,307000,236914000,0,302207000,330175000,328673000,323041000,7,39,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-129,instrumenten,Enschede,total_received,1505276000,0,342958000,364930000,391681000,405707000,0,0,0,0,4,26,Q-INSTR-01,2026-03-02T19:28:34Z
