fact_id,module,entity,metric,totaal,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,max_ratio,drop_period,query_ref,verified_at
INSTR-YOY-DN-086,instrumenten,Waterschap Rivierenland,yoy_decrease,309741000,0,49672000,49772000,69610000,0,114000,496000,138746000,1331000,104.24192336589,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-087,instrumenten,Innovationquarter,yoy_decrease,205565000,1056000,16015000,936000,1133000,171039000,15054000,148000,0,184000,101.716216216216,2021-2022,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-088,instrumenten,Noardeast-Fryslân,yoy_decrease,203064000,0,0,0,96908000,103016000,1034000,1139000,967000,0,99.6286266924565,2020-2021,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-089,instrumenten,Koninklijke Nederlandse Akademie van Wetenschappen,yoy_decrease,110361000,0,0,0,21000,0,0,473000,108745000,1122000,96.9206773618538,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-090,instrumenten,Bodegraven-Reeuwijk,yoy_decrease,165258000,384000,36654000,38371000,42271000,45275000,505000,640000,591000,567000,89.6534653465347,2020-2021,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-091,instrumenten,Stichting Samenwerkingsverband PO 20-01,yoy_decrease,103079000,0,0,20358000,20587000,268000,20528000,23629000,17709000,0,76.8171641791045,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-092,instrumenten,Begrotingsreserve,yoy_decrease,6038645000,0,0,0,1091401000,2038151000,176723000,2696823000,35547000,0,75.8664022280361,2022-2023,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-093,instrumenten,Stichting Primair Onderwijs Achterhoek,yoy_decrease,129040000,0,0,16296000,16889000,244000,20707000,24140000,25384000,25380000,69.2172131147541,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-094,instrumenten,Stichting Grafisch Lyceum Rotterdam,yoy_decrease,336245000,0,38766000,45225000,44978000,653000,49500000,48835000,53945000,54343000,68.8790199081164,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-095,instrumenten,Stichting voor Openbaar Voortgezet,yoy_decrease,145154000,202000,69112000,47424000,726000,4032000,10726000,6076000,0,6856000,65.3223140495868,2018-2019,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-096,instrumenten,Stichting Keender,yoy_decrease,124166000,43000,14606000,16150000,16802000,17027000,17726000,20504000,337000,20971000,60.8427299703264,2022-2023,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-097,instrumenten,Stichting Librijn openbaar onderwijs,yoy_decrease,124568000,0,0,79000,18430000,308000,22224000,27551000,28028000,27948000,59.8376623376623,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-098,instrumenten,Stichting J.C. Pleysierschool,yoy_decrease,102805000,49000,9984000,11239000,12455000,14260000,15793000,18867000,19816000,342000,57.9415204678363,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-099,instrumenten,Stichting STC-Group,yoy_decrease,453412000,206000,64019000,72344000,69980000,1222000,65929000,62702000,62201000,54809000,57.2667757774141,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-100,instrumenten,Gemeente Uden,yoy_decrease,101917000,288000,253000,0,891000,1025000,97594000,1729000,137000,0,56.4453441295547,2021-2022,Q-INSTR-03,2026-03-02T19:28:34Z
