fact_id,ontvanger,jaar,bedrag,descriptor,type
INSTR-321,Stichting Hoger Onderwijs Nederland,2022,240001000,Onderwijsdeel hbo,Bekostiging
INSTR-322,"Stichting Limburgs Voortgezet Onderwijs, SWB voor bijzonder en openbaar ond.",2023,239172000,Bekostiging voortgezet onderwijs lumpsum,Bekostiging
INSTR-323,Gemeente Heerlen,2023,239077000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
INSTR-324,Geanonimiseerde ontvanger(s) van Leningen voor Basisbeurs prestatiebeurs (NR),2022,238201000,Basisbeurs prestatiebeurs (NR),Leningen
INSTR-325,Stichting Saxion,2022,236040000,Onderwijsdeel hbo,Bekostiging
INSTR-326,Gemeente Ede,2024,235946000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-327,Gemeente Deventer,2024,235880000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-328,Plastic-grondslag,2024,235308000,Plastic-grondslag,Bijdrage aan (inter-)nationale organisaties
INSTR-329,Dienst Justitiële Inrichtingen,2024,233925000,DJI - jeugd,Bijdrage aan agentschappen
INSTR-330,Ver. Chr. Voortgezet Onderwijs te Rotterdam en omgeving,2024,233759000,Bekostiging voortgezet onderwijs lumpsum,Bekostiging
INSTR-331,Plastic-grondslag,2023,233215000,Plastic-grondslag,Bijdrage aan (inter-)nationale organisaties
INSTR-332,Gemeente Alkmaar,2023,232695000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
INSTR-333,Provincie Groningen,2024,231937000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-334,RVO,2023,230959000,Bijdrage aan RVO (DGA),Bijdrage aan agentschappen
INSTR-335,Gemeente Emmen,2022,230012000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-336,Gemeente Haarlemmermeer,2022,229715000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-337,Vereniging Studentenkaart Streekvervoer,2024,229687000,Reisvoorziening gift(R),Inkomensoverdrachten
INSTR-338,Belastingdienst/Blokaansluiting,2024,229665000,Tegemoetkoming blokaansluitingen (EM),Subsidies (regelingen)
INSTR-339,Stichting Hoger Onderwijs Nederland,2024,228709000,Onderwijsdeel hbo,Bekostiging
INSTR-340,Stichting Hoger Onderwijs Nederland,2023,228626000,Onderwijsdeel hbo,Bekostiging
INSTR-341,Gemeente Delft,2023,226224000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
